DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,SUMA_RIESGO_LLUVIOSO,RIESGO_LLUVIOSO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_LLUVIOSO
Parrita           ,60901,38540,50,27,23,17.711352147076276,6.586021505376344,12.556,36.85337365245262,12.332134751706967,Medio
Parrita           ,60901,38618,10,6,4,25.759996568990605,1.2096774193548387,60.737,87.70667398834544,37.38670170111922,Alto-medio
Parrita           ,60901,38652,20,8,12,13.440883121089866,2.553763440860215,12.073,28.06764656195008,8.003554578260568,Bajo-medio
Parrita           ,60901,38664,145,71,74,16.18259964363696,19.35483870967742,24.02,59.55743835331438,23.518046095007428,Medio
Parrita           ,60901,38674,61,33,28,13.855586147874519,8.064516129032258,18.0,39.920102276906775,13.843060436560389,Medio
Parrita           ,60901,38712,54,31,23,15.595851065785773,7.123655913978495,73.516,96.23550697976427,41.58871446671031,Alto
Parrita           ,60901,38716,45,16,29,11.767589713782414,5.913978494623656,13.925,31.60656820840607,9.747121834155546,Bajo-medio
Parrita           ,60901,38736,42,24,18,27.461248083645295,5.510752688172043,53.464,86.43600077181733,36.76066234941449,Alto-medio
Parrita           ,60901,38763,56,31,25,14.055811583922512,7.39247311827957,40.608,62.05628470220208,24.749185720773507,Alto-medio
Parrita           ,60901,38774,59,37,22,24.728404551276164,7.795698924731183,15.319,47.84310347600735,17.74659005355617,Medio
Parrita           ,60901,38805,29,12,17,15.616399772697248,3.763440860215054,14.894,34.273840632912304,11.061242158514222,Bajo-medio
Parrita           ,60901,38824,28,14,14,19.10327098958601,3.6290322580645165,12.603,35.33530324765053,11.58420696059387,Bajo-medio
Parrita           ,60901,38826,168,79,89,21.708322192718136,22.446236559139784,12.533,56.68755875185792,22.104104617531814,Medio
Parrita           ,60901,38834,8,5,3,23.01922594218851,0.9408602150537635,13.145,37.10508615724227,12.45614927508305,Medio
Parrita           ,60901,38959,77,39,38,13.457053757281859,10.21505376344086,67.194,90.86610752072272,38.943301537045585,Alto-medio
Parrita           ,60901,38962,37,18,19,26.644544592055308,4.838709677419355,33.732,65.21525426947466,26.305556968885487,Alto-medio
Parrita           ,60901,38974,62,30,32,8.023983390960021,8.198924731182796,11.359,27.58190812214282,7.76423940737353,Bajo-medio
Parrita           ,60901,38984,42,24,18,12.374384641073272,5.510752688172043,21.524,39.40913732924531,13.59131658895506,Medio
Parrita           ,60901,39045,145,75,70,36.0489392256171,19.35483870967742,31.082,86.48577793529452,36.78518672180829,Alto-medio
Parrita           ,60901,39047,100,49,51,15.477743695211077,13.306451612903224,22.726,51.5101953081143,19.553304607189933,Medio
Parrita           ,60901,39149,233,121,112,43.65126440621511,31.182795698924732,35.809,110.64306010513984,48.687073904006375,Alto
Parrita           ,60901,39160,12,5,7,20.327228424904785,1.478494623655914,67.942,89.74772304856069,38.392292291866084,Alto-medio
Parrita           ,60901,39205,27,23,4,22.348797696450088,3.494623655913978,38.249,64.09242135236407,25.75235604959539,Alto-medio
Parrita           ,60901,39235,55,26,29,31.90674735146402,7.258064516129033,31.704,70.86881186759305,29.09096984098652,Alto-medio
Parrita           ,60901,39241,102,53,49,15.815544311700814,13.5752688172043,14.447,43.83781312890511,15.773250771926909,Medio
Parrita           ,60901,39276,85,44,41,15.35115304704164,11.29032258064516,14.693,41.3344756276868,14.539898430840402,Medio
Parrita           ,60901,39332,1,1,0,24.004863121732125,0.0,6.607,30.611863121732124,9.257047344901538,Bajo-medio
Parrita           ,60901,39376,171,96,75,26.082200209713672,22.849462365591396,59.285,108.21666257530507,47.49162859454578,Alto
Parrita           ,60901,39428,184,100,84,31.71480983166558,24.596774193548388,16.29,72.60158402521397,29.94467757960793,Alto-medio
Parrita           ,60901,39438,60,27,33,20.709781304836476,7.93010752688172,23.187,51.82688883171819,19.709334187122206,Medio
Parrita           ,60901,39445,120,62,58,17.565861463648382,15.994623655913978,66.14,99.70048511956236,43.29585099882143,Alto
Parrita           ,60901,39453,132,66,66,14.39426717641547,17.607526881720432,11.151,43.152794058135896,15.435753381259076,Medio
Parrita           ,60901,39517,109,48,61,14.859710487309652,14.516129032258066,11.211,40.58683951956772,14.171550677578724,Medio
