DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
Bagaces           ,50401,38558,22,26,48,2,1,1,0,0,0,19,10,9,4,1,3,23,10,13,25,12,13,0,0,0,0,0,0,0,0,0,0,25,12,13,48,12.75510204,42,18,24,6,4,2,2,2,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,0,0,0,0,48,14.285714285,12,6,6,4,2,2,32,14,18,16,8,8,48,7.575757575,0,0,0,11,5,6,29,14,15,0.0,133.3199,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,55.133378210349626,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,94.82886369699365,23.96560135439522,Bajo-medio
Bagaces           ,50401,38681,38,34,72,9,6,3,0,0,0,3,2,1,15,7,8,45,23,22,27,15,12,0,0,0,0,0,0,0,0,0,0,27,15,12,72,13.775510204,62,33,29,10,5,5,3,2,1,2,1,1,2,0,2,6,2,4,1,0,1,0,0,0,0,0,0,72,23.809523809,17,9,8,4,2,2,51,27,24,21,11,10,72,10.101010101,3,2,1,28,20,8,28,10,18,27.272727272,121.4116,6,0,0,0,1,1,0,0,0,0,4,0,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,45.77966222845019,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,125.81734520109421,34.04142756051926,Alto-medio
Bagaces           ,50401,38732,11,6,17,12,8,4,17,11,6,0,0,0,5,4,1,0,0,0,5,3,2,7,4,3,5,4,1,0,0,0,0,17,11,6,17,8.673469387,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,6,3,3,2,2,0,9,6,3,8,5,3,17,3.535353535,0,0,0,4,4,0,9,6,3,0.0,171.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.04448558607315,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,102.33222009471717,26.40529866631633,Medio
Bagaces           ,50401,38783,103,83,186,83,49,34,13,8,5,47,19,28,16,11,5,64,34,30,85,51,34,37,18,19,0,0,0,0,0,0,0,122,69,53,186,62.244897959,164,90,74,22,13,9,15,8,7,1,0,1,0,0,0,6,4,2,0,0,0,1,0,1,1,1,0,186,52.38095238,54,28,26,8,3,5,124,72,52,62,31,31,186,30.808080808,1,1,0,72,55,17,68,24,44,9.09090909,138.4712,25,5,0,0,20,5,0,0,1,1,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,59.17961462844108,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,218.7833664520851,64.26909370401417,Alto
Bagaces           ,50401,38819,5,4,9,5,4,1,0,0,0,0,0,0,0,0,0,4,1,3,5,4,1,0,0,0,0,0,0,0,0,0,0,5,4,1,9,2.551020408,8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,2.38095238,3,3,0,2,1,1,4,1,3,5,4,1,9,2.02020202,1,1,0,0,0,0,5,1,4,9.09090909,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,21.121995484644017,0.0,Bajo
Bagaces           ,50401,38833,17,19,36,11,8,3,0,0,0,9,6,3,3,2,1,22,7,15,5,4,1,9,6,3,0,0,0,0,0,0,0,14,10,4,36,7.142857142,31,14,17,5,3,2,0,0,0,1,0,1,1,1,0,2,0,2,3,2,1,0,0,0,1,1,0,36,11.904761904,11,6,5,2,1,1,23,10,13,13,7,6,36,6.06060606,1,1,0,9,6,3,17,4,13,9.09090909,161.8799,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,77.5666498312399,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,116.84469561388393,31.12399329265369,Medio
Bagaces           ,50401,38857,29,29,58,24,15,9,0,0,0,10,7,3,3,2,1,29,11,18,21,12,9,8,6,2,0,0,0,0,0,0,0,29,18,11,58,14.795918367,58,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.0,12,8,4,3,1,2,43,20,23,15,9,6,58,7.07070707,0,0,0,17,12,5,33,12,21,0.0,114.2803,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,40.17817798790206,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,67.12371501154608,14.957342491099295,Bajo
Bagaces           ,50401,38904,19,16,35,5,3,2,0,0,0,10,7,3,1,1,0,19,8,11,16,11,5,0,0,0,0,0,0,0,0,0,0,16,11,5,35,8.163265306,23,14,9,12,5,7,6,0,6,1,1,0,0,0,0,5,4,1,3,3,0,1,0,1,0,0,0,35,28.571428571,6,5,1,2,1,1,27,13,14,8,6,2,35,3.535353535,0,0,0,15,10,5,15,5,10,0.0,133.32,3,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,55.133456758219445,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,100.48241575686346,25.803839475065477,Medio
Bagaces           ,50401,38976,17,18,35,1,1,0,0,0,0,7,3,4,9,4,5,25,12,13,3,2,1,7,3,4,0,0,0,0,0,0,0,10,5,5,35,5.102040816,27,12,15,8,5,3,6,3,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,35,19.047619047,11,4,7,5,3,2,19,10,9,16,7,9,35,7.575757575,0,0,0,6,6,0,20,7,13,0.0,161.88,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.56672837910972,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,114.37105740375374,30.319696099233568,Medio
Bagaces           ,50401,38983,31,33,64,0,0,0,0,0,0,0,0,0,11,5,6,53,26,27,11,5,6,0,0,0,0,0,0,0,0,0,0,11,5,6,64,5.612244897,62,31,31,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,64,4.761904761,19,12,7,4,1,3,41,18,23,23,13,10,64,11.111111111,0,0,0,20,12,8,31,10,21,0.0,133.32,3,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,2,0,0,0,55.133456758219445,65.7656909808463,0.0,24.15190383247406,5.07891158664402,10.732456247777028,0.0,81.69762911386347,19.696013717002995,Bajo-medio
